"Title: State Mental Health Agency (SMHA) Per Capita Mental Health Services Expenditures | KFF"
"Timeframe: FY2006"
"Location","SMHA Expenditures Per Capita",Footnotes
"United States","$103.53"
"Alabama","$64.43"
"Alaska","$278.63"
"Arizona","$156.78"
"Arkansas","$38.58"
"California","$122.98"
"Colorado","$71.69"
"Connecticut","$169.68"
"Delaware","$103.60"
"District of Columbia","$394.10"
"Florida","$38.17"
"Georgia","$60.92"
"Hawaii","$135.75"
"Idaho","$45.95"
"Illinois","$82.59"
"Indiana","$88.27"
"Iowa","$100.77"
"Kansas","$90.84"
"Kentucky","$49.34"
"Louisiana","$60.89"
"Maine","$353.86"
"Maryland","$145.37"
"Massachusetts","$111.58"
"Michigan","$100.03"
"Minnesota","$139.96"
"Mississippi","$110.07"
"Missouri","$75.00"
"Montana","$145.97"
"Nebraska","$61.87"
"Nevada","$60.81"
"New Hampshire","$126.71"
"New Jersey","$143.44"
"New Mexico","$25.58"
"New York","$213.23"
"North Carolina","$126.03"
"North Dakota","$72.21"
"Ohio","$68.22"
"Oklahoma","$48.98"
"Oregon","$117.22"
"Pennsylvania","$208.51","1"
"Rhode Island","$101.76"
"South Carolina","$65.74"
"South Dakota","$73.66"
"Tennessee","$88.02"
"Texas","$34.57"
"Utah","$58.29"
"Vermont","$197.54"
"Virginia","$81.59"
"Washington","$98.83"
"West Virginia","$71.49"
"Wisconsin","$107.81"
"Wyoming","$88.61"
"Puerto Rico","N/A"

"Notes"
"The reporting period reflects spending in state fiscal year, which varies by state. Data are reported in actual dollars and are not adjusted for inflation. Per capita data calculated using state civilian population. "
""
"US total includes Puerto Rico."

"Sources"
"National Association of State Mental Health Program Directors Research Institute, Inc (NRI), [http://www.nri-incdata.org/](http://www.nri-incdata.org/)."
"Table 1: SMHA Mental Health Actual Dollar and Per Capita Expenditures by State (FY2004 - FY2013), accessed May 15, 2015."

"Definitions"
"*Fiscal Year*: Refers to State Fiscal Year (FY). For example, for most states, Fiscal Year 2013 ended on June 30, 2013."
""
"*NR*: Data not reported."
""
"*N/A*: Data not available."


Footnotes
"1. Children's Mental Health Expenditures are not included in SMHA-Controlled Expenditures."
