REGION,DIVISION,STATE,NAME,RACE,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
0,0,0,United States,0,281424600,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,308745538,309349689
0,0,0,United States,1,228106498,228530479,230049196,231446915,232717191,234120447,235491577,236954818,238378087,239783014,241034399,241937061,242295420
0,0,0,United States,2,35704871,35814706,36263029,36684650,37066096,37510582,37961688,38443048,38935533,39429414,39902270,40250635,40357516
0,0,0,United States,3,2663851,2684491,2769731,2857113,2947575,3044517,3147772,3258666,3377213,3504878,3636766,3739506,3753858
0,0,0,United States,4,10589122,10705839,11182404,11649265,12099525,12542740,13007663,13475846,13934641,14395296,14833733,15159516,15239011
0,0,0,United States,5,462536,467339,487476,507265,526390,547317,568804,590839,613053,635677,657983,674625,677653
0,0,0,United States,6,3897722,3959557,4217119,4479985,4751156,5039695,5339095,5656695,5992680,6345687,6706378,6984195,7026231
3,6,01,Alabama,0,4447207,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4779736,4785298
3,6,01,Alabama,1,3195561,3196875,3201387,3204279,3215079,3227772,3249443,3283056,3308005,3332141,3353244,3362877,3364465
3,6,01,Alabama,2,1158988,1161454,1167403,1171672,1178398,1186375,1197062,1215481,1227620,1241613,1252307,1259224,1262341
3,6,01,Alabama,3,22967,23262,24084,24966,25920,26755,27606,28666,29666,30722,31825,32903,33008
3,6,01,Alabama,4,32142,32544,33971,35810,37929,40712,43406,46030,48454,50683,53747,55240,55510
3,6,01,Alabama,5,1534,1608,1963,2272,2625,2983,3290,3710,3996,4443,4796,5208,5202
3,6,01,Alabama,6,36015,36430,38826,41090,43540,46132,48998,52038,55099,58604,62019,64284,64772
4,9,02,Alaska,0,626933,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,710231,713985
4,9,02,Alaska,1,446431,446506,448602,452784,454912,460845,464201,468452,469996,472582,477369,483873,485944
4,9,02,Alaska,2,22909,22843,23269,23838,23633,23841,23577,23544,23785,23955,23979,24441,24582
4,9,02,Alaska,3,98743,98931,99332,99969,100717,101835,102888,103603,103803,104406,105769,106268,106911
4,9,02,Alaska,4,25695,26007,27198,28482,29929,31077,32350,33258,34072,35488,37726,38882,39225
4,9,02,Alaska,5,3425,3490,3819,4257,4695,5073,5488,5784,6169,6589,7191,7662,7693
4,9,02,Alaska,6,29730,30186,31494,33007,34528,36615,38442,40661,42475,44435,46861,49105,49630
4,8,04,Arizona,0,5130247,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6392017,6413737
4,8,04,Arizona,1,4518143,4542461,4629736,4723484,4808335,4915749,5057542,5196133,5290642,5361814,5391934,5418483,5435779
4,8,04,Arizona,2,168952,170022,177795,186140,194179,205171,218998,235636,249757,263512,274594,280905,281942
4,8,04,Arizona,3,266542,268184,271935,277602,283724,290212,298844,308302,316798,325262,330731,335278,336476
4,8,04,Arizona,4,97677,99270,106209,113754,121029,129542,141711,156142,167344,176686,183714,188456,189630
4,8,04,Arizona,5,8552,8746,9348,9961,10645,11297,12384,13312,14357,15163,15728,16112,16185
4,8,04,Arizona,6,70381,71903,78454,85314,92452,100433,109598,119616,128783,137925,146453,152783,153725
3,7,05,Arkansas,0,2673293,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2915918,2921606
